geografia_sk,address_id,line1,line2,city,postal_code,country_code,nombre_provincia
1,1,Sucursal Buenos Aires - Av. Principal 101,,Buenos Aires,1001,AR,Buenos Aires
2,2,Sucursal Córdoba - Av. Principal 102,,Córdoba,1002,AR,Córdoba
3,3,Sucursal Santa Fe - Av. Principal 103,,Santa Fe,1003,AR,Santa Fe
4,4,Sucursal Mendoza - Av. Principal 104,,Mendoza,1004,AR,Mendoza
5,1001,Calle 5545,Piso 4 Dto B,Córdoba,4934,AR,Córdoba
6,1002,Calle 2808,Piso 9 Dto C,Rafaela,2071,AR,Santa Fe
7,1003,Calle 3108,Piso 4 Dto C,CABA,7131,AR,Buenos Aires
8,1004,Calle 4007,,Río Cuarto,9773,AR,Córdoba
9,1005,Calle 4050,Piso 1 Dto C,Santa Fe,3071,AR,Santa Fe
10,1006,Calle 3429,Piso 12 Dto A,Godoy Cruz,2062,AR,Mendoza
11,1007,Calle 8343,Piso 6 Dto B,Mar del Plata,3932,AR,Buenos Aires
12,1008,Calle 7919,Piso 12 Dto B,Río Cuarto,5396,AR,Córdoba
13,1009,Calle 600,,Río Cuarto,8406,AR,Córdoba
14,1010,Calle 6964,,La Plata,7129,AR,Buenos Aires
15,1011,Calle 1377,Piso 5 Dto B,Córdoba,4771,AR,Córdoba
16,1012,Calle 5512,Piso 7 Dto B,Mar del Plata,8086,AR,Buenos Aires
17,1013,Calle 5195,,La Plata,3942,AR,Buenos Aires
18,1014,Calle 1244,Piso 6 Dto A,Mar del Plata,9220,AR,Buenos Aires
19,1015,Calle 4529,,CABA,2168,AR,Buenos Aires
20,1016,Calle 5469,Piso 4 Dto C,CABA,5096,AR,Buenos Aires
21,1017,Calle 4497,,Río Cuarto,9898,AR,Córdoba
22,1018,Calle 4618,Piso 6 Dto B,La Plata,1194,AR,Buenos Aires
23,1019,Calle 6513,,Córdoba,8773,AR,Córdoba
24,1020,Calle 7680,Piso 12 Dto B,Mar del Plata,2406,AR,Buenos Aires
25,1021,Calle 6844,Piso 4 Dto B,Santa Fe,1493,AR,Santa Fe
26,1022,Calle 5007,Piso 12 Dto A,CABA,6810,AR,Buenos Aires
27,1023,Calle 6609,Piso 12 Dto C,La Plata,6342,AR,Buenos Aires
28,1024,Calle 2280,Piso 3 Dto B,Córdoba,7247,AR,Córdoba
29,1025,Calle 8758,Piso 7 Dto A,Mendoza,2779,AR,Mendoza
30,1026,Calle 4992,,Villa Carlos Paz,3910,AR,Córdoba
31,1027,Calle 8006,,Rafaela,2138,AR,Santa Fe
32,1028,Calle 4770,,CABA,8449,AR,Buenos Aires
33,1029,Calle 2816,Piso 6 Dto B,CABA,3572,AR,Buenos Aires
34,1030,Calle 7836,Piso 12 Dto A,La Plata,4382,AR,Buenos Aires
35,1031,Calle 7082,Piso 12 Dto C,Santa Fe,3601,AR,Santa Fe
36,1032,Calle 7520,,Río Cuarto,3337,AR,Córdoba
37,1033,Calle 9910,Piso 4 Dto C,La Plata,9043,AR,Buenos Aires
38,1034,Calle 1493,Piso 5 Dto C,CABA,6681,AR,Buenos Aires
39,1035,Calle 6801,Piso 4 Dto A,CABA,8501,AR,Buenos Aires
40,1036,Calle 9317,,Mendoza,4927,AR,Mendoza
41,1037,Calle 8811,,Mar del Plata,4559,AR,Buenos Aires
42,1038,Calle 1987,,Mar del Plata,9264,AR,Buenos Aires
43,1039,Calle 4142,,CABA,8572,AR,Buenos Aires
44,1040,Calle 7568,Piso 7 Dto B,Mar del Plata,4185,AR,Buenos Aires
45,1041,Calle 1879,Piso 12 Dto A,La Plata,8606,AR,Buenos Aires
46,1042,Calle 8986,Piso 11 Dto A,CABA,3297,AR,Buenos Aires
47,1043,Calle 2795,,Rosario,3903,AR,Santa Fe
48,1044,Calle 6404,,Mar del Plata,5476,AR,Buenos Aires
49,1045,Calle 3550,,CABA,8242,AR,Buenos Aires
50,1046,Calle 1685,Piso 7 Dto C,Rafaela,8274,AR,Santa Fe
51,1047,Calle 6184,Piso 4 Dto A,Córdoba,4908,AR,Córdoba
52,1048,Calle 458,,La Plata,2035,AR,Buenos Aires
53,1049,Calle 2751,,Mendoza,7810,AR,Mendoza
54,1050,Calle 5287,,La Plata,4393,AR,Buenos Aires
55,1051,Calle 1980,,La Plata,6842,AR,Buenos Aires
56,1052,Calle 5182,,La Plata,8516,AR,Buenos Aires
57,1053,Calle 6046,,La Plata,7735,AR,Buenos Aires
58,1054,Calle 1669,,Santa Fe,5127,AR,Santa Fe
59,1055,Calle 6367,,Río Cuarto,6440,AR,Córdoba
60,1056,Calle 5210,,Río Cuarto,6490,AR,Córdoba
61,1057,Calle 7355,,Río Cuarto,9248,AR,Córdoba
62,1058,Calle 2033,Piso 5 Dto A,Mar del Plata,4990,AR,Buenos Aires
63,1059,Calle 8172,,La Plata,7156,AR,Buenos Aires
64,1060,Calle 9799,Piso 8 Dto C,Córdoba,3199,AR,Córdoba
65,1061,Calle 8534,Piso 7 Dto C,CABA,1388,AR,Buenos Aires
66,1062,Calle 5616,,Santa Fe,5068,AR,Santa Fe
67,1063,Calle 8544,Piso 6 Dto A,Villa Carlos Paz,1099,AR,Córdoba
68,1064,Calle 3154,,Rosario,4345,AR,Santa Fe
69,1065,Calle 8993,,Mar del Plata,7983,AR,Buenos Aires
70,1066,Calle 3237,,Mar del Plata,5079,AR,Buenos Aires
71,1067,Calle 3300,,La Plata,6891,AR,Buenos Aires
72,1068,Calle 7232,Piso 7 Dto C,La Plata,3553,AR,Buenos Aires
73,1069,Calle 7003,,La Plata,3878,AR,Buenos Aires
74,1070,Calle 7432,Piso 5 Dto B,La Plata,2178,AR,Buenos Aires
75,1071,Calle 3207,,La Plata,1210,AR,Buenos Aires
76,1072,Calle 8052,Piso 7 Dto B,Villa Carlos Paz,7113,AR,Córdoba
